,SH,Category,Weight,Filling start,Alt filling start,Filling end,Pickup,Plate,Arrival,Unload,trip_id
82,HK Scan Rauma,Sekatuote siipikarja luokka 3,12880kg,2021-01-15T16:28:00Z,,2021-01-15T22:42:00Z,2021-01-15T23:22:00Z,VZR-635,2021-01-16T01:37:00Z,2021-01-16T03:48:00Z,42.0
83,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13700kg,2021-01-15T17:16:00Z,,2021-01-15T18:55:00Z,2021-01-16T00:04:00Z,LOH-244,2021-01-16T02:37:00Z,2021-01-16T04:17:00Z,43.0
84,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12720kg,2021-01-15T18:55:00Z,,2021-01-16T00:07:00Z,2021-01-16T00:05:00Z,LOH-244,2021-01-16T03:03:00Z,2021-01-16T04:21:00Z,43.0
85,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,17410kg,2021-01-15T07:21:00Z,,2021-01-18T10:08:00Z,2021-01-18T10:08:00Z,JJV-660,2021-01-18T13:04:00Z,2021-01-18T13:44:00Z,44.0
86,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13010kg,2021-01-16T00:07:00Z,2021-01-18T05:00:00Z,2021-01-18T10:08:00Z,2021-01-18T10:09:00Z,JJV-660,2021-01-18T12:50:00Z,2021-01-18T13:44:00Z,44.0
87,HK Scan Rauma,Sekatuote siipikarja luokka 3,14360kg,2021-01-18T03:58:00Z,2021-01-18T04:00:00Z,2021-01-18T08:37:00Z,2021-01-18T13:30:00Z,LOH-244,2021-01-18T15:29:00Z,2021-01-18T16:30:00Z,45.0
88,HK Scan Rauma,Sekatuote siipikarja luokka 3,14780kg,2021-01-18T03:45:00Z,2021-01-18T04:00:00Z,2021-01-18T10:33:00Z,2021-01-18T13:37:00Z,LOH-244,2021-01-18T15:47:00Z,2021-01-18T16:36:00Z,45.0
89,HK Scan Rauma,Sekatuote siipikarja luokka 3,13120kg,2021-01-18T08:46:00Z,,2021-01-18T12:22:00Z,2021-01-18T13:37:00Z,LOH-244,2021-01-18T15:43:00Z,2021-01-18T16:35:00Z,45.0
90,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,15900kg,2021-01-18T12:28:00Z,,2021-01-18T13:49:00Z,2021-01-18T15:47:00Z,VZR-635,2021-01-18T18:10:00Z,2021-01-18T20:36:00Z,46.0
91,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13560kg,2021-01-18T13:49:00Z,,2021-01-18T15:25:00Z,2021-01-18T15:47:00Z,VZR-635,2021-01-18T18:10:00Z,2021-01-18T20:36:00Z,46.0
92,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12740kg,2021-01-18T11:04:00Z,,2021-01-18T12:19:00Z,2021-01-18T15:47:00Z,VZR-635,2021-01-18T18:10:00Z,2021-01-18T20:36:00Z,46.0
93,HK Scan Rauma,Sekatuote siipikarja luokka 3,15100kg,2021-01-18T10:47:00Z,,2021-01-18T14:11:00Z,2021-01-18T18:23:00Z,LOH-244,2021-01-18T21:27:00Z,2021-01-18T22:48:00Z,47.0
94,HK Scan Rauma,Sekatuote siipikarja luokka 3,14060kg,2021-01-18T13:18:00Z,,2021-01-18T16:25:00Z,2021-01-18T18:49:00Z,LOH-244,2021-01-18T21:42:00Z,2021-01-18T22:48:00Z,47.0
95,HK Scan Rauma,Sekatuote siipikarja luokka 3,16900kg,2021-01-18T16:31:00Z,,2021-01-18T20:18:00Z,2021-01-18T23:18:00Z,VZR-635,2021-01-19T03:21:00Z,2021-01-19T04:45:00Z,48.0
96,HK Scan Rauma,Sekatuote siipikarja luokka 3,14520kg,2021-01-18T14:22:00Z,,2021-01-18T18:53:00Z,2021-01-18T23:18:00Z,VZR-635,2021-01-19T03:05:00Z,2021-01-19T04:44:00Z,48.0
97,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13680kg,2021-01-18T15:25:00Z,,2021-01-18T17:05:00Z,2021-01-19T09:55:00Z,IMV-333,2021-01-19T11:51:00Z,2021-01-19T13:03:00Z,49.0
98,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14180kg,2021-01-18T17:05:00Z,,2021-01-18T19:19:00Z,2021-01-19T09:55:00Z,IMV-333,2021-01-19T11:51:00Z,2021-01-19T13:02:00Z,49.0
99,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13040kg,2021-01-18T19:19:00Z,,2021-01-19T06:04:00Z,2021-01-19T10:20:00Z,JJV-660,2021-01-19T12:44:00Z,2021-01-19T13:47:00Z,50.0
100,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13160kg,2021-01-19T06:04:00Z,,2021-01-19T08:41:00Z,2021-01-19T10:20:00Z,JJV-660,2021-01-19T12:44:00Z,2021-01-19T13:47:00Z,50.0
101,HK Scan Rauma,Sekatuote siipikarja luokka 3,13240kg,2021-01-19T11:20:00Z,,2021-01-19T14:43:00Z,2021-01-19T17:41:00Z,LOH-244,2021-01-19T20:08:00Z,2021-01-19T20:32:00Z,51.0
102,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12540kg,2021-01-19T12:25:00Z,,2021-01-19T15:12:00Z,2021-01-19T22:21:00Z,LOH-244,2021-01-19T22:22:00Z,2021-01-20T01:26:00Z,52.0
103,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12500kg,2021-01-18T11:05:00Z,,2021-01-19T15:12:00Z,2021-01-19T22:21:00Z,LOH-244,2021-01-19T22:22:00Z,2021-01-20T01:27:00Z,52.0
